tier,zone,zone_id,start_day,end_day,start_hour,end_hour,start_ts,end_ts,max_lceq
0,A,wild,0,1,9,9,2026-07-19 09:00,2026-07-20 09:00,110
0,A,wild,1,2,9,9,2026-07-20 09:00,2026-07-21 09:00,110
0,A,wild,2,3,9,9,2026-07-21 09:00,2026-07-22 09:00,110
0,A,wild,3,4,9,9,2026-07-22 09:00,2026-07-23 09:00,110
0,A,wild,4,5,9,9,2026-07-23 09:00,2026-07-24 09:00,110
0,A,wild,5,6,9,9,2026-07-24 09:00,2026-07-25 09:00,110
0,A,wild,6,7,9,9,2026-07-25 09:00,2026-07-26 09:00,110
0,A,wild,7,8,9,9,2026-07-26 09:00,2026-07-27 09:00,110
0,B,eveningParty,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,80
0,B,eveningParty,0,0,12,22,2026-07-19 12:00,2026-07-19 22:00,104
0,B,eveningParty,0,1,22,2,2026-07-19 22:00,2026-07-20 02:00,98
0,B,eveningParty,1,1,2,9,2026-07-20 02:00,2026-07-20 09:00,92
0,B,eveningParty,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,80
0,B,eveningParty,1,1,12,22,2026-07-20 12:00,2026-07-20 22:00,104
0,B,eveningParty,1,2,22,2,2026-07-20 22:00,2026-07-21 02:00,98
0,B,eveningParty,2,2,2,9,2026-07-21 02:00,2026-07-21 09:00,92
0,B,eveningParty,2,2,9,12,2026-07-21 09:00,2026-07-21 12:00,80
0,B,eveningParty,2,2,12,22,2026-07-21 12:00,2026-07-21 22:00,104
0,B,eveningParty,2,3,22,2,2026-07-21 22:00,2026-07-22 02:00,98
0,B,eveningParty,3,3,2,9,2026-07-22 02:00,2026-07-22 09:00,92
0,B,eveningParty,3,3,9,12,2026-07-22 09:00,2026-07-22 12:00,80
0,B,eveningParty,3,3,12,22,2026-07-22 12:00,2026-07-22 22:00,104
0,B,eveningParty,3,4,22,2,2026-07-22 22:00,2026-07-23 02:00,98
0,B,eveningParty,4,4,2,9,2026-07-23 02:00,2026-07-23 09:00,92
0,B,eveningParty,4,4,9,12,2026-07-23 09:00,2026-07-23 12:00,80
0,B,eveningParty,4,4,12,22,2026-07-23 12:00,2026-07-23 22:00,104
0,B,eveningParty,4,5,22,2,2026-07-23 22:00,2026-07-24 02:00,98
0,B,eveningParty,5,5,2,9,2026-07-24 02:00,2026-07-24 09:00,92
0,B,eveningParty,5,5,9,12,2026-07-24 09:00,2026-07-24 12:00,80
0,B,eveningParty,5,6,12,2,2026-07-24 12:00,2026-07-25 02:00,104
0,B,eveningParty,6,6,2,4,2026-07-25 02:00,2026-07-25 04:00,98
0,B,eveningParty,6,6,4,9,2026-07-25 04:00,2026-07-25 09:00,92
0,B,eveningParty,6,6,9,12,2026-07-25 09:00,2026-07-25 12:00,80
0,B,eveningParty,6,7,12,2,2026-07-25 12:00,2026-07-26 02:00,104
0,B,eveningParty,7,7,2,4,2026-07-26 02:00,2026-07-26 04:00,98
0,B,eveningParty,7,7,4,9,2026-07-26 04:00,2026-07-26 09:00,92
0,B,eveningParty,7,7,9,12,2026-07-26 09:00,2026-07-26 12:00,80
0,B,eveningParty,7,7,12,22,2026-07-26 12:00,2026-07-26 22:00,104
0,B,eveningParty,7,8,22,2,2026-07-26 22:00,2026-07-27 02:00,98
0,B,eveningParty,8,8,2,9,2026-07-27 02:00,2026-07-27 09:00,92
0,C,dayFestive,0,0,9,12,2026-07-19 09:00,2026-07-19 12:00,98
0,C,dayFestive,0,0,12,22,2026-07-19 12:00,2026-07-19 22:00,104
0,C,dayFestive,0,1,22,9,2026-07-19 22:00,2026-07-20 09:00,80
0,C,dayFestive,1,1,9,12,2026-07-20 09:00,2026-07-20 12:00,98
0,C,dayFestive,1,1,12,22,2026-07-20 12:00,2026-07-20 22:00,104
0,C,dayFestive,1,2,22,9,2026-07-20 22:00,2026-07-21 09:00,80
